Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Middeltemperatur (døgn);Middel av middelvind fra hovedobs. (døgn);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Oslo - Kjelsås;SN18440;22.07.2015;5;-;-;-;-
Oslo - Kjelsås;SN18440;23.07.2015;1,1;-;-;-;-
Oslo - Kjelsås;SN18440;24.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;26.07.2015;11,3;-;-;-;-
Oslo - Kjelsås;SN18440;27.07.2015;1,4;-;-;-;-
Oslo - Kjelsås;SN18440;28.07.2015;0,6;-;-;-;-
Oslo - Kjelsås;SN18440;29.07.2015;6,1;-;-;-;-
Oslo - Kjelsås;SN18440;30.07.2015;5,3;-;-;-;-
Oslo - Kjelsås;SN18440;31.07.2015;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;01.08.2015;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;02.08.2015;9,3;-;-;-;-
Oslo - Kjelsås;SN18440;03.08.2015;0,5;-;-;-;-
Oslo - Kjelsås;SN18440;04.08.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.08.2015;38,9;-;-;-;-
Oslo - Kjelsås;SN18440;06.08.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;07.08.2015;0,7;-;-;-;-
Oslo - Kjelsås;SN18440;08.08.2015;1,1;-;-;-;-
Oslo - Kjelsås;SN18440;09.08.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.08.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.08.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;12.08.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;13.08.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.08.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;15.08.2015;0;-;-;-;-
