"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"03.01.2021 00:45 - 03.01.2021 01:00","0","651"
"03.01.2021 01:00 - 03.01.2021 01:15","0","659"
"03.01.2021 01:15 - 03.01.2021 01:30","0","661"
"03.01.2021 01:30 - 03.01.2021 01:45","0","661"
"03.01.2021 01:45 - 03.01.2021 02:00","0","661"
"03.01.2021 02:00 - 03.01.2021 02:15","0","661"
"03.01.2021 02:15 - 03.01.2021 02:30","0","661"
"03.01.2021 02:30 - 03.01.2021 02:45","0","661"
"03.01.2021 02:45 - 03.01.2021 03:00","0","661"
"03.01.2021 03:00 - 03.01.2021 03:15","0","661"
"03.01.2021 03:15 - 03.01.2021 03:30","0","661"
"03.01.2021 03:30 - 03.01.2021 03:45","0","661"
"03.01.2021 03:45 - 03.01.2021 04:00","0","660"
"03.01.2021 04:00 - 03.01.2021 04:15","0","654"
"03.01.2021 04:15 - 03.01.2021 04:30","0","651"
"03.01.2021 04:30 - 03.01.2021 04:45","0","651"
"03.01.2021 04:45 - 03.01.2021 05:00","0","650"
"03.01.2021 05:00 - 03.01.2021 05:15","0","644"
"03.01.2021 05:15 - 03.01.2021 05:30","0","641"
"03.01.2021 05:30 - 03.01.2021 05:45","0","641"
"03.01.2021 05:45 - 03.01.2021 06:00","0","636"
"03.01.2021 06:00 - 03.01.2021 06:15","0","609"
"03.01.2021 06:15 - 03.01.2021 06:30","0","601"
"03.01.2021 06:30 - 03.01.2021 06:45","0","601"
"03.01.2021 06:45 - 03.01.2021 07:00","0","597"
"03.01.2021 07:00 - 03.01.2021 07:15","0","578"
"03.01.2021 07:15 - 03.01.2021 07:30","0","571"
"03.01.2021 07:30 - 03.01.2021 07:45","0","571"
"03.01.2021 07:45 - 03.01.2021 08:00","0","570"
"03.01.2021 08:00 - 03.01.2021 08:15","0","564"
"03.01.2021 08:15 - 03.01.2021 08:30","0","561"
"03.01.2021 08:30 - 03.01.2021 08:45","0","561"
"03.01.2021 08:45 - 03.01.2021 09:00","0","557"
"03.01.2021 09:00 - 03.01.2021 09:15","0","537"
"03.01.2021 09:15 - 03.01.2021 09:30","0","531"
"03.01.2021 09:30 - 03.01.2021 09:45","0","531"
"03.01.2021 09:45 - 03.01.2021 10:00","0","524"
