"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1324","","1207","21736","n/e","n/e","0","41","n/e","26","n/e","408"
"Norway (NO)","03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1293","","1190","21360","n/e","n/e","0","38","n/e","27","n/e","425"
"Norway (NO)","03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1285","","1188","21185","n/e","n/e","0","35","n/e","24","n/e","361"
"Norway (NO)","03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1252","","1184","20522","n/e","n/e","0","34","n/e","24","n/e","447"
"Norway (NO)","03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1168","","1184","20117","n/e","n/e","0","32","n/e","22","n/e","498"
"Norway (NO)","03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","917","","1176","19691","n/e","n/e","0","33","n/e","23","n/e","568"
"Norway (NO)","03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","699","","1172","18288","n/e","n/e","0","32","n/e","24","n/e","587"
"Norway (NO)","04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","537","","1159","16487","n/e","n/e","0","34","n/e","23","n/e","580"
"Norway (NO)","04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","403","","1159","16043","n/e","n/e","0","31","n/e","24","n/e","566"
"Norway (NO)","04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","371","","1160","15726","n/e","n/e","0","38","n/e","22","n/e","607"
"Norway (NO)","04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","396","","1158","15921","n/e","n/e","0","34","n/e","22","n/e","567"
"Norway (NO)","04.01.2021 04:00 - 04.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","579","","1160","16370","n/e","n/e","0","35","n/e","22","n/e","550"
"Norway (NO)","04.01.2021 05:00 - 04.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","792","","1159","17884","n/e","n/e","0","34","n/e","23","n/e","610"
"Norway (NO)","04.01.2021 06:00 - 04.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1076","","1157","19711","n/e","n/e","0","35","n/e","23","n/e","697"
"Norway (NO)","04.01.2021 07:00 - 04.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1229","","1155","21903","n/e","n/e","0","36","n/e","24","n/e","690"
"Norway (NO)","04.01.2021 08:00 - 04.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1480","","1161","22488","n/e","n/e","0","37","n/e","26","n/e","845"
"Norway (NO)","04.01.2021 09:00 - 04.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1475","","1167","22715","n/e","n/e","0","35","n/e","25","n/e","955"
"Norway (NO)","04.01.2021 10:00 - 04.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1467","","1167","22740","n/e","n/e","0","34","n/e","26","n/e","1108"
"Norway (NO)","04.01.2021 11:00 - 04.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1471","","1160","22655","n/e","n/e","0","33","n/e","26","n/e","1162"
"Norway (NO)","04.01.2021 12:00 - 04.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1475","","1164","22446","n/e","n/e","0","36","n/e","25","n/e","1137"
"Norway (NO)","04.01.2021 13:00 - 04.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1473","","1162","22617","n/e","n/e","0","35","n/e","26","n/e","1000"
"Norway (NO)","04.01.2021 14:00 - 04.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1472","","1165","22637","n/e","n/e","0","32","n/e","25","n/e","919"
"Norway (NO)","04.01.2021 15:00 - 04.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1485","","1168","22650","n/e","n/e","0","31","n/e","24","n/e","931"
"Norway (NO)","04.01.2021 16:00 - 04.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1509","","1162","22783","n/e","n/e","0","35","n/e","23","n/e","998"
